"id","Type","Bezeichnung"
"803","S","Rosenheim-Ost"
"804","S","Nürnberg-West"
"805","S","Stkr.Kulmbach,Marktredwitz-Berneck-Wunsiedel,Kronach-Teuschnitz-Sonnefeld/Ofr"
"806","S","Stkr.München-Milbertshofen/Obb"
"807","S","Stkr.Fürth-Land/Mfr"
"808","S","Stkr.Naila/Ofr"
"809","S","Stkr.Kronach-Teuschnitz,Münchberg-Naila/Ofr"
"810","S","Stkr.München II u. III/Obb"
"811","S","München-Moosach"
"812","S","Stkr.Freyung - Grafenau/Ndb"
"813","S","Stkr.Mallersdorf,Dingolfing,Vilsbiburg/Ndb"
"814","S","Stkr.Augsburg-Land-Süd/Schw"
"815","S","Stkr.Erlangen - Stadt/Mfr"
"816","S","Stkr.Hilpoltstein,Nürnberg-Land"
"817","S","Stkr.Marktoberdorf/Schw"
"818","S","Stkr.München-Stadt (10), Stbez. 30 Ramersdorf-Perlach, 31 Berg am Laim, 32 Trudering/Obb"
"819","S","Ansbach-Süd, Weißenburg-Gunzenhausen"
"820","S","Stkr.München-Laim/Obb"
"821","S","München-Laim"
"822","S","Stkr.München-Süd/Obb"
"823","S","Dillingen a. d. Donau"
"824","S","Augsburg-Land, Dillingen"
"825","S","Stkr.Lichtenfels-Staffelstein/Ofr"
"826","S","München-Altstadt"
"827","S","Stkr.München II (Univiertel,Dt.Museum,Lehel,Schwabing-Freimann)/Obb"
"828","S","Nabburg"
"829","S","Stkr.Main-Spessart/Ufr"
"830","S","Sonthofen"
"831","S","Stkr.München-Land-Süd/Obb"
"832","S","Stkr.Kempten-Sonthofen,Kaufbeuren-Füssen-Markt-Oberdorf/Schw"
"833","S","Stkr.Mallersdorf,Rottenburg,Dingolfing/Ndb"
"834","S","Stkr.Forchheim/Ofr"
