"id","Name","Vorname","Titel","Beruf","geb_am","geb_in","ges_am","ges_in","f_id","k_id"
"882","Renk","Kurt","","Referent im Landesversorgungsamt","1921-09-17","Würzburg","2007-03-03","Kirchseeon","3","3"
"883","Reseneder","Anton","","kaufm.Angestellter","1919-04-10","Landau/Isar","2003-04-16","Dingolfing","3","1"
"884","Richter","Dietrich","","Ingenieur","1932-01-30","Reichenau","null","","2","3"
"885","Richter","Roland","","Dipl.-Ing. Architekt","1963-08-09","Salzburg","null","","33","1"
"886","Richter","Rudi","Dr.","Dipl.-Volkswirt","1927-09-16","Fürth","0011-10-30","Fürth","8","2"
"887","Riedel","Georg","","steuerlicher Berater","1900-11-10","Selb","1980-07-20","Nördlingen","9","5"
"888","Riediger","Ernst","","Schulrat","1901-07-15","Streit, Schlesien","1966-02-04","Mönchröden (Rödental)","3","2"
"889","Riedmiller","Lorenz","","Oberbürgermeister","1880-10-19","Egg a.d.Günz","1960-07-05","Memmingen","3","3"
"890","Rief","Max","Dr.","Leiter des Landessiedlungsamtes Niederbayern und Oberpfalz","1893-09-07","St.Gallen, Schweiz","1980-04-22","Regensburg","3","3"
"891","Rieger","Franz","Dr.","","1959-05-24","Regensburg","null","","5","1"
"892","Rieger","Sophie","","Dipl.-Ing., Architektin","1933-12-26","Beuthen","null","","null","null"
"893","Riess","Roswitha","","Lehrerin a.D.; II.Vizepräs. d. Bayer. Landtags a.D","1937-02-04","Mariabrunn am Bodensee","null","","53","1"
"894","Rinderspacher","Markus","","Fernsehjournalist","1969-07-18","Kaiserslautern","null","","41","2"
"895","Rindt","Eugen","Dr.","Leiter des Landessiedlungsamtes Schwaben","1907-04-07","München","1979-06-24","Augsburg","3","3"
"896","Rippel","Wenzel","","Angestellter","1902-12-28","Aich b.Karlsberg","1982-06-22","Kaufbeuren","3","3"
"902","Riß","Josef","","Landwirt","1883-07-30","Todtenweis","1958-04-09","Todtenweis","3","3"
"897","Ritt","Hans","","Kaminkehrermeister, Energieberater","1962-02-08","Eichendorf","null","","9","1"
"899","Ritter","Florian","","Datenverarbeitungskaufmann, Selbstständig","1962-05-08","München","null","","9","3"
"900","Ritter","Ludwig","","Kaufmann","1935-02-03","Mömlingen, Landkreis Miltenberg","null","","8","1"
"898","Ritter von Rudolph","Ludwig","","Schulrat a.D., Referent der Bezirksregierung","1890-06-25","Nürnberg","1966-08-31","Nürnberg","3","3"
"901","Ritzer","Helmut","Dr.","Verwaltungsdirektor a.D., I. Vizepräsident des Bayerischen Landtags a.D.","1938-06-09","Buckenhof, Landkreis Erlangen","null","","8","2"
"903","Rohde","Jörg","","V. Vizepräsident des Bayerischen Landtags","1966-04-06","Korschenbroich","null","","7","null"
"932","Röhlig","Ewald","","Buchdruckereibesitzer","1892-06-25","Romsdorf (Weißenborn), Burgenlandkreis, Sachsen-Anhalt","1979-10-08","Nürnberg","3","3"
"933","Röhrl","Wilhelm","","Dipl.-Volkswirt, Ministerialrat a.D.","1921-03-04","München","2013-05-14","","3","1"
"904","Roiger","Ludwig","","Kreisbeauftragter für das Flüchtlingswesen","1901-09-28","Chammünster (Cham)","1961-04-15","Cham","3","3"
"905","Roith","Christian","","Schlosser","1905-12-09","","1969-09-02","München","3","3"
"934","Röll","Franz","","Schreiner,Landwirt","1886-02-20","Bad Königswart, Sudetenland","1952-11-19","Marktleuthen","7","3"
"906","Romberg","Eleonore","","Soziologin, Professorin i.R.","1923-06-09","München","2004-08-02","München","15","4"
"907","Roos","Bernhard","","Gewerkschaftssekretär, Volljurist","1954-06-20","Hacklberg, nun Passau","null","","4","1"
"921","Roß","Wolfgang","","Hauptmann der Bundeswehr a.D.","1935-02-08","Düsseldorf","null","","3","3"
"908","Rosa","Erich","","Dipl.-Landwirt","1901-01-18","Schweinfurt","1960-06-23","Schweinfurt","7","3"
"909","Rose","Klaus","Dr.","Studienrat a.D.","1941-12-07","Augsburg","null","","5","3"
"910","Rosenbauer","Georg","","Landwirtschaftsmeister, Bürgermeister a.D.","1941-06-26","Ostheim","null","","10","5"
"911","Rosenbauer","Heinz","Dr. jur.","Staatssekretär a.D.","1938-05-19","Hückeswagen/Rheinland","2010-01-21","Bad Feilnbach","9","1"
"912","Rosenthal","Georg","","Diplom-Kaufmann","null","Duisburg","null","","4","null"
"922","Roßkopf","Rudolf","","Landwirt und Kaufmann","1925-04-16","Bertoldsheim","1994-11-01","Bertoldsheim","9","1"
"923","Roßmann","Josef","","kaufm. Angestellter","1901-01-17","Nürnberg","1954-10-20","Lichtenfels","3","3"
"913","Rost","Sieghard","Dr.","Ltd.Oberstudiendirektor a.D.","1921-11-07","Woldisch-Tychow, Ostpommern","null","","9","2"
"914","Roth","Ernst","","Verw.-Angestellter","1906-06-01","Marienbad, Sudetenland","1955-01-31","Bamberg","3","3"
"915","Rothammer","Josef","","Geschäftsführer","1908-11-27","Regensburg","1976-05-16","Regensburg","7","1"
"916","Rothe","Marianne","","Hauswirtschaftsoberrätin a.D.","1931-03-30","Coschütz-Thürnhof/Plauen","null","","3","3"
"917","Rothemund","Helmut","Dr. jur.","Rechtsanwalt, II.Vizepräsident a.D.","1929-03-31","Rehau","2004-06-27","München","8","2"
"918","Rothgang-Rieger","Anna","","Dipl.-Ing.","1930-03-06","Beuthen/Oberschlesien","null","","9","3"
"919","Rottenberger","Heinrich","","Landwirt, Bürgermeister a.D.","1899-12-14","Merkendorf","1956-03-22","Blindham-Nicklgut","3","3"
"920","Rotter","Eberhard","","Rechtsanwalt","1954-07-31","Simmerberg, Kreis Lindau","null","","8","1"
