"pa_id","a_id","Typ","von","bis"
"92","57","Mitglied","1985-02-05","1988-10-19"
"96","57","Mitglied","1978-01-25","1978-07-13"
"118","57","stv. Mitglied","1976-10-26","1977-02-15"
"128","57","Mitglied","1978-01-27","1978-07-13"
"129","57","Mitglied","1978-10-30","1982-10-19"
"130","57","Beirat","1978-12-13","1979-04-05"
"131","57","stv. Mitglied","1982-04-01","1982-09-13"
"132","57","Beisitzer","1982-11-18","1986-10-21"
"132","57","Beisitzer","1986-12-10","1988-10-25"
"133","57","stv. Mitglied","1983-02-09","1985-03-28"
"134","57","stv. Mitglied","1983-02-09","1985-03-28"
"23","58","Mitglied","1951-01-10","1954-12-12"
"109","59","Mitglied","1947-01-29","1949-09-22"
"135","59","Mitglied","1947-01-29","1949-09-22"
"136","59","Mitglied","1948-02-13","1949-09-22"
"2","60","Mitglied","1950-11-27","1954-12-12"
"2","60","Mitglied","1955-01-13","1957-03-26"
"9","60","Mitglied","1954-12-13","1957-03-26"
"22","60","stv. Mitglied","1950-11-27","1950-11-27"
"30","60","nichtberufsrichterliches Mitglied","1954-12-13","1957-03-26"
"30","60","stv.nichtberufsrichterl. Mitglied","1951-02-08","1954-12-12"
"41","60","stv.Vorsitzender","1954-12-13","1957-03-26"
"130","60","Beirat","1955-03-15","1957-03-26"
"137","60","Beisitzer","1950-11-27","1954-12-12"
"138","60","Vertreter","1950-11-27","1954-12-12"
"139","60","Mitglied","1950-11-27","1954-12-12"
"140","60","Mitglied","1950-11-27","1954-12-12"
"141","60","stv.Vorsitzender","1955-02-25","1957-03-26"
"16","61","Mitglied","2013-11-06","2013-11-06"
"46","61","Mitglied","2013-11-06","2013-11-06"
"8","62","Mitglied","1978-11-07","1982-10-19"
"8","62","Mitglied","1982-10-27","1986-10-21"
"57","62","Mitglied","1978-11-07","1982-10-19"
"57","62","Mitglied","1982-10-27","1986-10-21"
"57","62","Mitglied","1986-11-12","1990-10-23"
"81","62","Mitglied","1984-02-22","1984-02-22"
"1","63","Mitglied","1993-01-12","1994-10-14"
"1","63","Mitglied","1994-11-10","1998-09-27"
"10","63","stv. Mitglied","1994-07-21","1994-10-14"
"10","63","stv. Mitglied","1998-07-09","1998-09-27"
"142","63","Mitglied","1995-03-16","1998-09-27"
"21","64","Mitglied","1947-01-29","1950-11-26"
"9","65","Mitglied","1955-01-13","1958-12-03"
"23","65","Mitglied","1955-01-13","1957-04-01"
"26","65","Mitglied","1946-07-15","1946-10-26"
"71","65","Mitglied","1955-01-13","1957-04-01"
"135","65","Mitglied","1947-01-29","1950-11-26"
"143","65","Mitglied","1946-07-15","1946-10-26"
"144","65","Mitglied","1947-01-29","1950-11-26"
"145","65","Mitglied","1947-07-18","1950-11-26"
"14","66","Mitglied","1972-05-01","1973-07-31"
"22","66","stv. Mitglied","1994-07-21","1994-10-14"
"30","66","stv. Mitglied","1971-01-27","1974-11-11"
"35","66","Mitglied","1970-12-03","1974-11-11"
"73","66","Mitglied","1970-12-03","1974-11-11"
"81","66","Mitglied","1974-03-27","1974-03-27"
"81","66","Mitglied","1979-02-20","1979-02-20"
"81","66","Mitglied","1984-02-22","1984-02-22"
"81","66","Mitglied","1989-03-17","1989-03-17"
"146","66","Mitglied","1971-01-26","1974-11-11"
"3","67","Vorsitzender","1996-12-19","1998-02-04"
"4","67","Mitglied","1990-10-30","1994-10-14"
"4","67","Mitglied","1994-11-10","1998-09-27"
"4","67","Mitglied","1998-10-28","2003-10-05"
"4","67","Mitglied","2003-11-04","2005-11-29"
"7","67","Mitglied","1990-10-30","1992-01-29"
"10","67","Mitglied","1994-07-21","1994-10-14"
"53","67","Mitglied","1991-12-12","1993-03-18"
"81","67","Mitglied","1999-03-25","1999-03-25"
"81","67","Mitglied","2004-03-17","2004-03-17"
"108","67","Mitglied","2013-11-06","2013-11-06"
"113","67","2.stv.Mitglied","1991-06-13","1994-10-14"
"113","67","2.stv.Mitglied","1994-11-24","1998-09-27"
"130","67","Beirat","1990-11-19","1994-10-14"
"147","67","Vorsitzender","1992-10-06","1994-07-15"
"148","67","Stv. Fraktionsvorsitzender","1994-10-27","2005-11-29"
"149","67","Mitglied","1999-07-08","1999-12-09"
"150","67","Vorsitzender","1999-10-28","2001-05-09"
"151","67","Mitglied","2008-12-04","2013-10-06"
"152","67","Stellvertr. Vorsitzender","2012-07-04","2013-07-17"
"43","68","Mitglied","2011-12-06","2012-12-31"
"153","68","Stv. Fraktionsvorsitzender","2008-10-20","2013-02-20"
"154","68","Mitglied","2008-12-04","2013-02-20"
"63","69","Stv. Fraktionsvorsitzender","2006-04-06","2011-06-08"
"151","69","Mitglied","2003-11-04","2008-10-19"
"155","69","Mitglied","2003-11-04","2006-04-24"
"135","70","Mitglied","1947-01-29","1950-11-26"
"5","71","Mitglied","1962-12-07","1966-12-01"
"10","71","Mitglied","1962-10-23","1962-12-06"
"10","71","Mitglied","1974-10-29","1974-11-11"
"12","71","Mitglied","1971-05-04","1974-11-11"
"21","71","Mitglied","1947-01-29","1950-11-26"
"21","71","Mitglied","1950-11-27","1954-12-12"
"22","71","Mitglied","1950-11-27","1950-11-27"
"22","71","Mitglied","1970-12-03","1970-12-03"
"25","71","Mitglied","1946-12-16","1950-11-26"
"28","71","Mitglied","1947-01-29","1950-11-26"
"30","71","nichtberufsrichterliches Mitglied","1951-02-08","1954-12-12"
"31","71","Mitglied","1946-12-16","1950-11-26"
"31","71","Mitglied","1949-05-11","1950-11-26"
"31","71","Mitglied","1950-11-27","1954-12-12"
"39","71","Mitglied","1958-12-04","1962-12-06"
"41","71","Vorsitzender","1950-11-27","1954-12-12"
"42","71","Mitglied","1950-11-27","1954-12-12"
"52","71","Mitglied","1973-07-17","1974-11-11"
"64","71","Mitglied","1950-11-27","1954-12-12"
"64","71","Mitglied","1958-12-04","1962-12-06"
"64","71","Mitglied","1962-12-07","1966-12-01"
"64","71","Mitglied","1970-12-03","1974-11-11"
"70","71","Alterspräsident","1970-12-03","1970-12-03"
"70","71","II. Vizepräsident","1962-12-07","1966-12-01"
"73","71","Mitglied","1958-12-04","1962-12-06"
"81","71","Mitglied","1949-08-26","1949-08-26"
"83","71","Mitglied","1971-01-26","1974-11-11"
"104","71","Mitglied","1949-07-26","1950-11-26"
"126","71","Vorsitzender","1948-04-28","1950-11-26"
"144","71","Mitglied","1947-01-29","1950-11-26"
"153","71","Fraktionsvorsitzender","1949-10-28","1950-11-26"
"153","71","Fraktionsvorsitzender","1950-11-27","1962-12-06"
"153","71","Fraktionsvorsitzender","1970-12-03","1972-05-01"
"153","71","Stv. Fraktionsvorsitzender","1946-12-16","1949-10-27"
"153","71","Stv. Fraktionsvorsitzender","1972-05-02","1974-11-11"
"156","71","Mitglied","1946-12-16","1950-11-26"
